title,authors,genre,thumbnail,description,average_rating,cluster
Muhammad,Karen Armstrong,Biography & Autobiography,http://books.google.com/books/content?id=JUz3Z0iv_pgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,muhammad be bear in 570 ce and over the follow sixty year build a thriving spiritual community lay the foundation of a religion that change the course of world history there be more historical datum on his life than on that of the founder of any other major faith and yet his story be little know karen armstrong immaculately research new biography of muhammad will enable reader to understand the true origin and spirituality of a faith that be all too often misrepresent as cruel intolerant and inherently violent an acclaimed authority on religious and spiritual issue armstrong offer a balanced indepth portrait reveal the man at the heart of islam by dismantle century of misconception armstrong demonstrate that muhammad lifea pivot point in historyha genuine relevance to the global crisis we face today,4.04,2
Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,http://books.google.com/books/content?id=-_ieWUhA6V4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,of the many recent book on the historical jesus none have explore what the late biblical scholarship mean for personal faith now in meet jesus again for the first time marcus borg address the yearning of those who want a fully contemporary faith that welcome rather than oppress our critical intelligence and openness to the good of historical scholarship borg show how a rigorous examination of historical finding can lead to a new faith in christ one that be critical and at the same time sustain believe in jesus do not mean believe doctrine about he borg write rather it mean to give one heart one self at its deep level to the live lord draw on his own journey from a naive unquestione belief in christ through collegiate skepticism to a mature and contemporary christian faith borg illustrate how an understanding of the historical jesus can actually lead to a more authentic christian lifeone not root in creed or dogma but in a life of spiritual challenge compassion and community in straightforward accessible prose borg look at the major finding of modern jesus scholarship from the perspective of faith bring alive the many level of jesus character spirit person teacher of alternative wisdom social prophet and movement founder he also reexamine the major story of the old testament vital to an authentic understanding of jesus show how an enriched understanding of these story can uncover new truth and new pathway to faith for question believer doubter and reluctant unbeliever alike meet jesus again for the first time free our understanding of jesus life and message from popular misconception and outline the way to a sound and contemporary faith for ultimately jesus be not simply a figure of the past but a figure of the present meeting that jesusthe live one who come to we even nowwill be like meet jesus again for the first time,4.14,6
Reading the Bible Again for the First Time,Marcus J. Borg,Religion,http://books.google.com/books/content?id=pf0mlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,one of the vital challenge face thoughtful people today be how to read the bible faithfully without abandon our sense of truth and history read the bible again for the first time provide a muchneeded solution to the problem of how to have a fully authentic yet contemporary understanding of the scripture many mistakenly believe there be no choice other than fundamentalism or simply reject the bible as something that can bring meaning to our life answer this modern dilemma acclaim author marcus borg reveal how it be possible to reconcile the bible with both a scientific and critical way of thinking and our deep spiritual need lead to a contemporary yet ground experience of the sacred text this seminal book show you how to read the bible as it should be examinedin an approach the author call historicalmetaphorical borg explore what the scripture mean to the ancient community that produce and live by they he then help we to discover the meaning of these story provide the knowledge and perspective to make the wisdom of the bible an essential part of our modern life the author argue that the conventional way of see the bible origin authority and interpretation have become unpersuasive to million of people in our time and that we need a fresh way of encounter the bible that take the text seriously but not literally even as it take seriously who we have become borg trace his personal spiritual journey describe for reader how he move from an unquestione childhood belief in the biblical story to a more powerful and dynamic relationship with the bible as a sacred text brim with meaning and guidance use his own experience as an example he reveal how the modern crisis of faith be itself root in the misinterpretation of sacred text as historical record and divine dictation and open reader to a truer more abundant perspective this unique book invite everyonewhatever one religious backgroundto engage the bible wrestle with its meaning explore its mystery and understand its relevance borg show we how to encounter the bible in a fresh way that reject the limit of simple literalism and open up rich possibility for our life,4.13,6
Shadow of the Almighty,Elisabeth Elliot,Religion,http://books.google.com/books/content?id=QQCG9mNU1eAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the bestselle account of the martyrdom of jim elliot and four other missionary at the hand of the auca indians in ecuador new introduction by the author,4.39,6
The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,http://books.google.com/books/content?id=0FV3JwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the acclaim spiritual memoir from the author of the secret life of bee I be amazed to find that I have no idea how to unfold my spiritual life in a feminine way I be surprised and in fact a little terrified when I find myself in the middle of a feminist spiritual reawaken sue monk be a conventionally religious churchgoe woman a traditional wife and mother with a thriving career as a christian writer until she begin to question her role as a woman in her culture her family and her church from a jarring encounter with sexism in a suburban drugstore to monastery retreat and ritual in the cave of crete kidd take reader through the fear anger healing and transformation of her awakening retain a meaningful connection with the deep song of christianity she open the door for traditional christian woman to discover a spirituality that speak directly to they and provide inspire wisdom for all who struggle to embrace their full humanity,3.96,6
C.S. Lewis,C. S. Lewis,Religion,http://books.google.com/books/content?id=vtr4NDL8AP8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,know throughout the world as the intellect behind the chronicle of narnia and as the twentieth century most influential christian writer c s lewis have stir million of reader through his probe insight passionate argument and provocative question about god love life and death gather from the mass of his publish work include the screwtape letter mere christianity the four love and god in the dock as well as from letter essay and less familiar writing this compendium contain a cross section of lewiss fine work,4.31,6
The Screwtape Letters,C. S. Lewis,Religion,http://books.google.com/books/content?id=v1kn7KYynzIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in this humorous and perceptive exchange between two devil c s lewis delf into moral question about good vs evil temptation repentance and grace through this wonderful tale the reader emerge with a well understanding of what it mean to live a faithful life,4.22,6
Mere Christianity,C. S. Lewis,Religion,http://books.google.com/books/content?id=LpHbXdKJaMwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a forceful and accessible discussion of christian belief that have become one of the most popular introduction to christianity and one of the most popular of lewiss book uncover common ground upon which all christian can stand together,4.32,6
Learning to Love,Thomas Merton,Religion,http://books.google.com/books/content?id=U0nXswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,have embrace a life of solitude in his own hermitage thomas merton find his faith test beyond his imagination when a visit to the hospital lead to a clandestine affair of the heart jolt out of his comfortable routine merton be force to reassess his need for love and his commitment to celibacy and the monastic vocationthis astonishing volume trace merton struggle to reconcile his unexpected love with his sacred vow while continue to grapple with the burn social issue of the day include racial conflict the war in vietnam and the arabisraeli conflict visit and correspond with highprofile friend like thich nhat hanh and joan baez and far develop his writing career reveal merton to be very human in his chronicle of the ecstasy and torment of be in love learn to love come full circle as merton recommit himself completely and more deeply to his vocation even as he recognize my need for love my loneliness my inner division the struggle in which solitude be at once a problem and a solution and perhaps not a perfect solution either 11 may 1967,4.5,6
Cash,Johnny Cash,Biography & Autobiography,http://books.google.com/books/content?id=yL6MRZfrWjkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,he be the man in black a country music legend and the quintessential american troubadour he be an icon of rugged individualism who have be to hell and back tell the tale as never before in his unforgettable autobiography johnny cash tell the truth about the high and low the struggle and hardwon triumph and the people who shape he in his own word cash set the record straight and dispel a few myth as he look unsparingly at his remarkable life from the joy of his boyhood in dyess arkansas to superstardom in nashville tennessee the road of cashs life have be anything but smooth cash write of the thrill of play with elvis the comfort of pray with billy graham of his battle with addiction and of the devotion of his wife june of his gratitude for life and of his thought on what the afterlife may bring here too be the friend of a lifetime include willie nelson roy orbison bob dylan and kris kristofferson as powerful and memorable as one of his classic song cash be fill with the candor wit and wisdom of a man who truly walk the line,4.07,2
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,http://books.google.com/books/content?id=eOxfuF6BQ0gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a first volume of personal correspondence write by classic author c s lewis include letter pen during his childhood world war I army day education at oxford atheist period and early friendship with j r r tolkien,4.37,2
Touching the Void,Joe Simpson,Sports & Recreation,http://books.google.com/books/content?id=Qg8DO-EqFzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,joe simpson and his climbing partner simon yates have just reach the top of a 21000foot peak in the ande when disaster strike simpson plunge off the vertical face of an ice ledge break his leg in the hour that follow darkness fall and a blizzard rage as yate try to lower his friend to safety finally yate be force to cut the rope moment before he would have be pull to his own death the next three day be an impossibly gruele ordeal for both man yate certain that simpson be dead return to base camp consume with grief and guilt over abandon he miraculously simpson have survive the fall but crippled starving and severely frostbitten be trap in a deep crevasse summon vast reserve of physical and spiritual strength simpson crawl over the cliff and canyon of the ande reach base camp hour before yate have plan to leave how both man overcome the torment of those harrowing day be an epic tale of fear suffering and survival and a poignant testament to unshakable courage and friendship,4.21,7
Anybody Out There?,Marian Keyes,Fiction,http://books.google.com/books/content?id=79T7wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,marian keye have introduce reader to the life love and foible of the five walsh sister claire maggie rachel helen and anna and their crazy mammy in this funny heartbreaking and triumphant new tale set in the big apple its annas turn in the spotlight life be perfect for anna walsh she have the good job in the world as a pr exec for a topselle urban beauty brand a lovely apartment in new york and a perfect husband the love of her life aidan maddox until the morning she wake up in her mammys living room in dublin with stitch in her face a dislocate knee and completely smashedup hand and no memory of how she get there while her mammy play nursemaid just like all of her favorite nurse on her soap and her sister helen sit in wet hedge do her private investigator work for lucky star pi anna try to get well and keep wonder why aidan will not return her phone call or email recuperate from her injury a mystified anna return to manhattan slowly begin to remember what happen she set off on a search to find aidan a hilarious quest involve lily she can not stop smell they psychic medium and anyone in the city who can promise she a reunion with her beloved write in her classic style marry the dark part of life with humor and wit anybody out there be marian keyess good novel to date a wonderfully charming look at love here and ever after,3.91,0
My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,http://books.google.com/books/content?id=oP3lPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,pony know how to have fun a game of hideandseek be the perfectpastime on a beautiful afternoon but when sparklework be nowhere to be find the pony decide to turn the table and make she find they,4.14,1
The Confusion,Neal Stephenson,Fiction,http://books.google.com/books/content?id=NJbllgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,in the year 1689 a cabal of barbary galley slave include one jack shaftoe aka king of the vagabond aka halfcocke jack devise a daring plan to win freedom and fortune a great adventure ensue a perilous race for an enormous prize of silver nay gold nay legendary gold in europe the exquisite and resourceful eliza countess de la zeur be strip of her immense personal fortune by france most dashing privateer penniless and at risk from those who desire either her or her head or both she be catch up in a web of international intrigue even as she desperately seek the return of her most precious possession meanwhile newton and leibniz continue to propound their grand theory as their infamous rivalry intensifie stubborn alchemy do battle with the natural science dastardly plot be set in motion and daniel waterhouse seek passage to the massachusetts colony in hope of escape the madness into which his world have descend this ps edition feature an extra 16 page of insight into the book include author interview recommend reading and more,4.25,0
Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,http://books.google.com/books/content?id=LgLT04F1KscC&printsec=frontcover&img=1&zoom=1&source=gbs_api,jess aaron great ambition be to be the fast runner in his grade he s be practice all summer and can not wait to see his classmate face when he beat they all but on the first day of school a new girl boldly cross over to the boy side and outrun everyone that s not a very promising beginning for a friendship but jess and leslie burke become inseparable together they create terabithia a magical kingdom in the wood where the two of they reign as king and queen and their imagination set the only limit then one morning a terrible tragedy occur only when jess be able to come to grip with this tragedy do he finally understand the strength and courage leslie have give he,3.99,1
Practical Demonkeeping,Christopher Moore,Fiction,http://books.google.com/books/content?id=saaBiYmBmgsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in christopher moores ingenious debut novel we meet one of the most memorably mismatch pair in the annal of literature the goodlooke one be onehundredyearold exseminarian and road scholar travis ohearn the green one be catch a demon with a nasty habit of eat most of the people he meet behind the fake tudor faade of pine cove california catch see a fourstar buffet travis on the other hand think he see a way of rid himself of his toothy travel companion the winos neopagan and deadbeat lothario of pine cove meanwhile have other idea and none of they be quite prepared when all hell break loose,3.82,0
Island of the Sequined Love Nun,Christopher Moore,Fiction,http://books.google.com/books/content?id=YLqclgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,take a wonderfully craze excursion into the demented heart of a tropical paradisea world of cargo cult cannibal mad scientist ninjas and talk fruit bat our bumble hero be tucker case a hopeless geek trap in a cool guy body who make a living as a pilot for the mary jean cosmetic corporation but when he demolish his bosss pink plane during a drunken airborne liaison tuck must run for his life from mary jean goon now there s only one employment opportunity leave for he pilot shady secret mission for an unscrupulous medical missionary and a sexy blond high priestess on the remotest of micronesian hell here be a brazen ingenious irreverent and wickedly funny novel from a modern master of the outrageous,3.79,0
The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,http://books.google.com/books/content?id=kUDSt-EI814C&printsec=frontcover&img=1&zoom=1&source=gbs_api,the town psychiatrist have decide to switch everybody in pine cove california from their normal antidepressant to placebo so naturallywell to be accurate artificiallybusiness be boom at the local blue bar trouble be those lonely slideguitar note have also attract a colossal sea beast name steve with shall we say a thing for explosive oil tanker truck suddenly morose pine cove turn libidinous and be hit by a mysterious crime wave and a beleaguered constable have to fight off his own gonzo appetite to find out what s wrong and what if anything to do about it,3.86,0
Weetzie Bat,Francesca Lia Block,Juvenile Fiction,http://books.google.com/books/content?id=vxCXxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fifteen year ago francesca lia block make a dazzle entrance into the literary scene with what would become one of the most talkedabout book of the decade weetzie bat this poetic roller coaster swoop have a sleek new design to match its new sister and brother books goat girl and beautiful boy rediscover the magic of weetzie bat ms blocks sophisticated slinkstercool love song to lathe book that shatter the standard captivate reader of all generation and make francesca lia block one of the most heralded author of the last decade,3.74,1
Behind the Curtain,Peter Abrahams,Juvenile Fiction,http://books.google.com/books/content?id=c5FuIIBgTGQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in echo fall you never know what s come next and everyone have a secret thing be amiss at 99 maple lane ingrid dad job be in jeopardy but he will not explain why ingrid brother ty be get buff really buff but when ty start get moody ingrid wonder if there s more to his physical fitness than lift weight meanwhile ingrid beloved soccer coach be replace by an icy newcomer name julia lecaine who seem a little too savvy to be in it for the postgame pizza true to her hero sherlock holmes ingrid begin fish around to find out who s really pull the string in echo fall but one morning while en route to the dread mathf ingrid be kidnap and lock in the trunk of a car even if she escape will anyone believe her story in this sequel to down the rabbit hole a clever young girl learn that mysterious force be at work in her town and expose they could put her life in jeopardy,3.9,1
"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,http://books.google.com/books/content?id=W1RIPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,originally publish new york clarion book 1994,3.71,1
Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,http://books.google.com/books/content?id=MLEujRNyoMUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,when dorothy triumph over the wicked witch of the west in l frank baum classic tale we hear only her side of the story but what about her archnemesis the mysterious witch where do she come from how do she become so wicked and what be the true nature of evil gregory maguire create a fantasy world so rich and vivid that we will never look at oz the same way again wicked be about a land where animal talk and strive to be treat like firstclass citizen munchkinlander seek the comfort of middleclass stability and the tin man become a victim of domestic violence and then there be the little greenskinne girl name elphaba who will grow up to become the infamous wicked witch of the west a smart prickly and misunderstood creature who challenge all our preconceive notion about the nature of good and evil,3.53,0
Son of a Witch,Gregory Maguire,Fiction,http://books.google.com/books/content?id=5-3f3naMQ6QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,ten year after the publication of wicked beloved novelist gregory maguire return at last to the land of oz there he introduce we to liir an adolescent boy last see hide in the shadow of the castle after dorothy do in the witch bruise comatose and leave for dead in a gully liir be shatter in spirit as well as in form but he be tend to at the cloister of saint glinda by the silent novice call candle who will he back to life with her musical gift what dark force leave liir in this condition be he really elphabas son he have her broom and her capebut what of her power can he find his suppose halfsister nor last see in the forbid prison southstair can he fulfill the last wish of a die princess in an oz that since the wizard departure be under new and dangerous management can liir keep his head down long enough to grow up for the countless fan who have be dazzle and entrance by maguire oz son of a witch be the rich reward they have await so long,3.47,0
This Rough Magic,Mary Stewart,Fiction,http://books.google.com/books/content?id=BjFn9MD8n10C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a fledgling actress vacation in corfu lucy ware witness the murder of one of england theater luminary and become embroil in a dangerous offstage drama reprint,4.05,0
Airs Above the Ground,Mary Stewart,Fiction,http://books.google.com/books/content?id=P_i1ysmDf8MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,vanessa march never think to look for her miss husband in vienna until she see he in a newsreel shot there at the scene of a deadly fire but her hunt for answer only lead to more sinister question in a mysterious world of beautiful horse and what wait for vanessa in the shadow be more terrifying than anything she have ever encounter,4.04,0
Beauty,Robin McKinley,Juvenile Fiction,http://books.google.com/books/content?id=EaWWnkiShpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a strange imprisonment beauty have never like her nickname she be thin and awkward it be her two sister who be the beautiful one but what she lack in look she can perhaps make up for in courage when her father come home with the tale of an enchanted castle in the forest and the terrible promise he have to make to the beast who live there beauty know she must go to the castle a prisoner of her own free will her father protest that he will not let she go but she answer can not a beast be tame robin mckinley beloved telling illuminate the unusual love story of a most unlikely couple beauty and the beast,4.05,1
Mating in Captivity,Esther Perel,Psychology,http://books.google.com/books/content?id=-HIhMOQanIEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a guide for love couple who be look to renew sexual passion in their life explain how societal taboo and ideal about domestic equality have compromise the healthy expression of eroticism in today relationship in a resource that explain how to overcome personal constraint for great intimacy 40000 first print,4.13,7
Forgotten New York,Kevin Walsh,Travel,http://books.google.com/books/content?id=77aiRf018Y0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,forget new york be your passport to more than 300 year of history architecture and memory hide in plain sight house date to the first dutch settler on staten island yellow brick road in brooklyn clock embed in the sidewalk in manhattan bishop crook lamppost in queen and a white elephant in the bronxthis be new york and this be your guide to see it all forget new york cover all five borough with easytouse map and suggest route to hundred of outofthe way place antiquated monument street to nowhere and building from a time lose forget new york feature quiet place truly forget history happen here what be this thing forget people and so much more,4.18,7
The Dead Beat,Marilyn Johnson,Social Science,http://books.google.com/books/content?id=b03jlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,marilyn johnson be enthral by the remarkable life that be march out of this worldso she seek out the good obit in the english language and the people who spend their life write about the dead she survey the dark corner of internet chat room and make a pilgrimage to london to savor the most caustic and literate obit of all now she lead we on a compelling journey into the cult and culture behind the obituary page and the unusual life we do not quite appreciate until they re go,3.41,7
Charms for the Easy Life,Kaye Gibbons,Fiction,http://books.google.com/books/content?id=TE2mBDsQyvkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a family without man the birch live gloriously offbeat life in the lush green backwood of north carolina radiant headstrong sophia and her shy brilliant daughter margaret possess powerful charm to ward off loneliness despair and the human misery that often beat a path to their door and they be protect by the eccentric wisdom and muscular love of the remarkable matriarch charlie kate a solid uncompromise selftaught healer who treat everything from boil to broken bone to broken heart sophia margaret and charlie kate find strength in a time when woman almost always depend on man and their bond deepen as each one experience love and loss during world war ii charm for the easy life be a passionate luminous and exhilarating story about embrace what life have to offer even if it mean find it in unconventional way this ps edition feature an extra 16 page of insight into the book include author interview recommend reading and more,4.02,0
The Reading Group,Elizabeth Noble,Fiction,http://books.google.com/books/content?id=IagWjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the reading group follow the trial and tribulation of a group of woman who meet regularly to read and discuss booksover the course of a year each of these woman become intertwine both in the book they read and within each other life inspire by a share desire for conversation a good book and a glass of wineclare harriet nicole polly and susan undergo startling revelation and transformation despite their difference in background age and respective dilemma what start as a reading group gradually evolve into a forum where the woman may express their view through the book they read and grow to become increasingly more open as the bond of friendship cement in the reading group noble reveal the many complicated path in life we all face as well as the power and importance of friendship this ps edition feature an extra 16 page of insight into the book include author interview recommend reading and more,3.34,0
A Couple of April Fools,Gregory Maguire,Juvenile Fiction,http://books.google.com/books/content?id=qW4cvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,at a vermont elementary school april fools day take on a sinister tone when a teacher go missing and several suspect emerge among they the teacher fiance and a missing mutant chick,3.5,1
What Christians Believe,C. S. Lewis,Religion,http://books.google.com/books/content?id=81T46KixNg8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,the essential explain master storyteller and essayist c s lewis here tackle the central question of the christian faith who be jesus what do he accomplish what do it mean for I in these classic essay which begin as talk on the bbc during world war ii lewis creatively and simply explain the basic tenet of christianity take from the core section of mere christianity the selection in this gift edition provide an accessible way for more people to discover these timeless truth for those look to remind themselves of the thing they hold true or those look for a snapshot of christianity this book be a wonderful introduction to the faith,4.2,6
Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,http://books.google.com/books/content?id=NYE3GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,but this be what I could not give up I could not give up myself psyche have know lovescente with jasmine and tasting of fresh orange yet he be fleeting and fragile lose to she too quickly punish by selfdoubt psyche yearn to be transform like the beautiful and brutal figure in the myth her lover once speak of attempt to uncover beauty in the darkness she be challenge test and change by the god and demon who tempt her her faith must be find again for if she be to love she must never look back,3.84,1
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,http://books.google.com/books/content?id=WMtZ29Fjx2MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,outline step to achieve overall physical health address each area of the body in a series of chapter design to challenge popular myth while inform reader on a range of dietary exercise and therapeutic concern,3.82,7
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,http://books.google.com/books/content?id=4qVxvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,when digory and polly try to return the wicked witch jadi to her own world the magic get mix up and they all land in narnia where they witness aslan blessing the animal with human speech,4.26,0
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,http://books.google.com/books/content?id=u95ZvAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,they open a door and enter a world narnia a land freeze in eternal winter a country wait to be set free four adventurer step through a wardrobe door and into the land of narnia a land enslave by the power of the white witch but when almost all hope be lose the return of the great lion aslan signal a great change and a great sacrifice,4.21,1
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,http://books.google.com/books/content?id=R_LRInz7X1QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,present three story of teenager beset by horrible curse and strange power,3.89,1
A Quick Bite,Lynsay Sands,Fiction,http://books.google.com/books/content?id=xIJ5TMzPsHYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,that hot guy tie to lissianna argeneaus bed he s not desserthe the main course lissianna have be spend her century pine for mr right not just a quick snack and this sexy guy she find in her bed look like he might be a candidate but there s another more pressing issue her tendency to faint at the sight of blood an especially annoying quirk for a vampire of course it do not hurt that this man have a deliciouslooking neck what kind of coldbloode vampire woman could resist a bite of that dr gregory hewitt recover from the shock of wake up in a stranger bedroom pretty quicklyonce he see a gorgeous woman about to treat he to a wild night of passion but be it possible for the good doctor to find true love with a vampire vixen or will he be just a good meal that s a question dr greg might be willing to sink his tooth into if he can just get lissianna to bite,3.91,0
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,http://books.google.com/books/content?id=lLYOrikgtJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in a great green room tuck away in bed be a little bunny goodnight room goodnight moon and to all the familiar thing in the softly light room to the picture of the three little bear sit on chair to the clock and his sock to themitten and the kitten toeverythe one by one the little bunny say goodnight in this classic of children literature belove by generation of reader and listener the quiet poetry of the word and the gentle lulling illustration combine to make a perfect book for the end of the day,4.27,1
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,http://books.google.com/books/content?id=3h9eNAyQWzAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the astonishing novel brave new world originally publish in 1932 present aldous huxley vision of the future of a world utterly transform through the most efficient scientific and psychological engineering people be genetically design to be passive and therefore consistently useful to the rule class this powerful work of speculative fiction shed a blaze critical light on the present and be consider to be huxley most endure masterpiece follow brave new world be the nonfiction work brave new world revisit first publish in 1958 it be a fascinating work in which huxley use his tremendous knowledge of human relation to compare the modernday world with the prophetic fantasy envision in brave new world include threat to humanity such as overpopulation propaganda and chemical persuasion,4.16,0
The Final Solution,Michael Chabon,Fiction,http://books.google.com/books/content?id=xXtptpBIYP8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,retire to the english countryside an eightynineyearold man rumor to be a oncefamous detective be more concerned with his beekeeping than with his fellow man into his life wander linus steinman nine year old and mute who have escape from nazi germany with his sole companion an african gray parrot what be the meaning of the mysterious string of german number the bird spew out a topsecret ss code the key to a series of swiss bank account or do they hold a significance both more prosaic and far more sinister though the solution may be beyond even the reach of the oncefamous sleuth the true story of the boy and his parrot be subtly reveal in a wrench resolution,3.31,0
The Cat's Pajamas,Ray Bradbury,Fiction,http://books.google.com/books/content?id=Xb6MUmQrUMAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,from the winner of the national book foundation 2000 medal for distinguished contribution to american letter come a sweet funny thoughtprovoke milwaukee journal sentinel collection of short story as in his most recent major fiction collection one more for the road 1999 and drive blind 1997 ray bradbury have once again pull together a stellar group of story sure to delight reader of all age in the cat pyjama we be treat to a treasure trove of bradbury gem old and new eerie and strange nostalgic and bittersweet searching and speculative all but two of which have never be publish before the cat pyjama be a joyous celebration of the lifelong work of a literary legend,3.73,0
Holy Skirts,Rene Steinke,Fiction,http://books.google.com/books/content?id=BjP7lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,no one in 1917 new york have ever encounter a woman like the baroness elsa von freytagloringhoven poet artist protopunk rocker sexual libertine fashion avatar and unrepentant troublemaker when she be not stalk the street of greenwich village wear a brassiere make from tomato can she be enthusiastically declaim her poem to sailor in beer hall or pose nude for man ray or marcel duchamp in an era of brutal war technological innovation and cataclysmic change the baroness have resolve to create her own destiny take the center of the dadaist circle break every bond of female propriety and transform herself into a living breathing work of art,3.61,0
Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,http://books.google.com/books/content?id=OdZxnI53jj4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,butterfly there be 20000 different kind of butterfly in the world many have brightly color wing but butterfly do not start life as beauty every butterfly begin as a tiny egg that hatch into a caterpillar then an amazing change take place the caterpillar turn into a flutter butterfly,4.0,7
A False Mirror,Charles Todd,Fiction,http://books.google.com/books/content?id=MMG3b9fo-hYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,summon to a small harbor town by a former trenchmate falsely accuse of assault an exlover husband scotland yard inspector ian rutledge be remind of an affair from his own past and investigate a bizarre coincidence,4.02,0
Cracks in My Foundation,Marian Keyes,Fiction,http://books.google.com/books/content?id=cC8-lwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,go far under the cover and stay in bed a little long with marian keye in this win followup to her smash essay collection under the duvet write in the witty forthright style that have earn her legion of devoted reader crack in my foundation offer an even deep and more candid look into this beloved author mind and heart explore such universal theme as friend and family home glamour and beauty child travel and more marian hilarious and thoughtful take on life make her reader feel they be read a friend not just an author marian continue to entertain with her report from the trench and throw in some original short fiction as well whether its visit siberia break it off with an old hairdresser shopping of course turn forty live with her beloved husband himself a man beyond description or musing on the f word feminism marian share the joy passion and sorrow of her world and help we feel good about our own so grab a latte and a pillow and get ready to laugh your slipper off,3.81,0
A Fistful of Charms,Kim Harrison,Fiction,http://books.google.com/books/content?id=o_jxvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the evil night thing that prowl cincinnati despise witch and bounty hunter rachel morgan her new reputation for the dark art be turn human and undead head alike with the intent to possess bed and kill she not necessarily in that order now a mortal lover who abandon rachel have return haunt by his secret past and there be those who covet what nick possess savage beast willing to destroy the hollow and everyone in it if necessary force to keep a low profile or eternally suffer the wrath of a vengeful demon rachel must nevertheless act quickly for the pack be gather for the first time in millennia to ravage and to rule and suddenly more than rachel soul be at stake,4.28,0
For a Few Demons More,Kim Harrison,Fiction,http://books.google.com/books/content?id=ya3Nq-_dqG8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,when a serial murderer begin kill off member of hollow society rachel morgan find herself sweep up in a brutal inderland gang war a situation that be complicate by her demonic nemesis and the release of a vampire master,4.33,0
