title,authors,genre,thumbnail,description,average_rating,main_genre
Blindness,José Saramago;Giovanni Pontiero,fiction,http://books.google.com/books/content?id=9ab5g1_ghuQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a city is hit by an epidemic of white blindness whose victims are confined to a vacant mental hospital while a single eyewitness to the nightmare guides seven oddly assorted strangers through the barren urban landscape,4.11,Fiction
All the Names,José Saramago;Margaret Jull Costa,fiction,http://books.google.com/books/content?id=2Ln6jSlu0OwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,when a drone in the central registry discovers a stray unfiled birth certificate he decides to investigate the identity of the womanthe first step in an obsession that will lead him to her by the nobel prizewinning author of blindness readers guide included reprint 60000 first printing,3.89,Fiction
"Poems, New and Collected, 1957-1997",Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh,poetry,http://books.google.com/books/content?id=wt4sO8GUBX8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,provides one hundred poems including the authors view with a grain of sand and sixtyfour newlytranslated selections,4.42,Non-Fiction
The Last Life,Claire Messud,fiction,http://books.google.com/books/content?id=NBiLmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,in a story set between north africa france and new england the algerian labasse familys secrets begin to unravela triggerhappy grandfather a mother who pretended to be french and a bastard child that was abandoned by the family before he was even born reprint 35000 first printing,3.56,Fiction
The Tale of the Unknown Island,José Saramago,fiction,http://books.google.com/books/content?id=LBcvkNqzdCUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a moving and eloquent fable from the 1998 winner of the nobel prize for literature offers a unique blend of love and philosophy as a man petitions a boat from the king finds a crew to volunteer and sets sail reprint 25000 first printing,3.89,Fiction
Tales from Margaritaville,Jimmy Buffett,fiction,http://books.google.com/books/content?id=x6Z56Md25n4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,the singersongwriter displays his gift for creating witty laidback southern stories in a collection of bizarre tales and thoughtful essays,3.9,Fiction
The Cyberiad,Stanislaw Lem,fiction,http://books.google.com/books/content?id=kWElP9YZkzQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,trurl and klaupacius are constructor robots who try to outinvent each other they travel to the far corners of the cosmos to take on freelance problemsolving jobs with dire consequences for their employers the most completely successful of his books here lem comes closest to inventing a real universe boston globe illustrations by daniel mrz translated by michael kandel,4.18,Fiction
Four Comedies,Aristophanes;Dudley Fitts,drama,http://books.google.com/books/content?id=Cy_6QwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,new english versions of lysistrata the frogs the birds and ladies day thanks to dudley fittswe can appreciate aristophanes vigor his robust style his scorching wit his earthy humor his devotion to honesty and his poetic imagination brooks atkinson new york times index,4.03,Fiction
The Common Reader,Virginia Woolf,literary collections,http://books.google.com/books/content?id=g8JTvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,woolfs first and most popular volume of essays this collection has more than twentyfive selections including such important statements as modern fiction and the modern essay edited and with an introduction by andrew mcneillie index,4.17,Non-Fiction
A Writer's Diary,Virginia Woolf;Leonard Woolf,biography & autobiography,http://books.google.com/books/content?id=pn9OzR4AYdsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,extracts drawn by virginia woolfs husband from the personal record she kept over a period of twentyseven years offer insight into the art and mind of the twentiethcentury author,4.25,Non-Fiction
Women and Writing,Virginia Woolf,literary criticism,http://books.google.com/books/content?id=TfAZjjQKGsoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,known for her novels and for the dubious fame of being a doyenne of the bloomsbury set in her time virginia woolf was highly respected as a major essayist and critic with a special interest and commitment to contemporary literature and womens writing in particular this spectacular collection of essays and other writings does justice to those efforts offering unique appraisals of aphra behn mary wollstonecraft the duchess of newcastle dorothy richardson charlotte bronte and katherine mansfield amongst many others gathered too and using previously unpublished sometimes even unsigned journal extracts are what will now become timeless commentaries on women and fiction professions for women and the intellectual status of women more than half a century after the publication of a room of ones own distinguished scholar michele barrett cohesively brings together work which throughout the years has been scattered throughout many texts and many volumes affording these very valuable writings the collective distinction they deserve at last,4.07,Non-Fiction
The Cave,José Saramago,fiction,http://books.google.com/books/content?id=hcXTwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,informed that his clay pots and jugs are no longer needed elderly potter cipriano applies his craft to the making of ceramic dolls but his familys subsequent successes are compromised by a terrible discovery,3.83,Fiction
"Gun, with Occasional Music",Jonathan Lethem,fiction,http://books.google.com/books/content?id=AgRevgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,in a bizarre noirish world shared by people and intelligent animals conrad metcalf a human private detective finds one of his cases has drawn him into a conflict between gangsters and the inquisitors office reprint 15000 first printing,3.77,Fiction
A Drink Before the War,Dennis Lehane,fiction,http://books.google.com/books/content?id=1UQOpInULqUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,private detective partners patrick kenzie and angela gennaro are hired to find jenna angeline a missing black cleaning woman who allegedly stole confidential state documents but as their investigation becomes complicated by rival gang leaders extortion child prostitution and assassination reaching to the highest levels of government they discover that their target has been framed reprint 15000 first printing,3.95,Fiction
Baudolino,Umberto Eco,fiction,http://books.google.com/books/content?id=VSLOZb6Ff7YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,born a simple peasant in northern italy baudolino narrates the story of his life from his adoption by emperor frederick barbarossa and his education in paris to his arrival in constantinople during the turmoil of the fourth crusade,3.74,Fiction
Mrs. Dalloway's Party,Virginia Woolf;Stella McNichol,fiction,http://books.google.com/books/content?id=MRBmu3paHaQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,seven short stories continue or extend virginia woolfs ideas about the party created by mrs dalloway in her landmark 1925 novel mrs dalloway reprint,3.87,Fiction
The Liberated Bride,Abraham B. Yehoshua;Hillel Halkin,fiction,http://books.google.com/books/content?id=wzy1GYKAfgoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,as yohanan rivlin a professor at haifa university embarks on research into turbulent recent algerian history with the help of one of his students a young arab bride from a galilee village he becomes obsessed with his sons failed marriage reprint 35000 first printing,3.76,Fiction
The Female of the Species,Joyce Carol Oates,fiction,http://books.google.com/books/content?id=NVM6vgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a collection of short works includes so help me god in which a young wife wonders about the identity of a flirtatious caller and madison at guignol in which an unhappy fashionista discovers a horrendous secret at a clothing store,3.6,Fiction
Flowers for Algernon,Daniel Keyes,fiction,http://books.google.com/books/content?id=NRWlitmahXkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,with more than five million copies sold flowers for algernon is the beloved classic story of a mentally disabled man whose experimental quest for intelligence mirrors that of algernon an extraordinary lab mouse high school older,4.11,Fiction
A Room of One's Own,Virginia Woolf;Susan Gubar,fiction,http://books.google.com/books/content?id=dh9gvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,describes the domestic obligations social limitations and economic factors that impede literary creativity in women in the story of william shakespeares talented sister who because of the mores of her time never expresses her genius until she dies by her own hand reprint,4.13,Fiction
To the Lighthouse,Virginia Woolf,fiction,http://books.google.com/books/content?id=Ak83vQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,an english familys complex lives are followed and picked up again after a 10 year hiatus in order to explore the effects of time,3.77,Fiction
Kiffe Kiffe Tomorrow,Faïza Guène;Sarah Adams,fiction,http://books.google.com/books/content?id=fv8tvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,struggling with an overworked mother an absent father and the challenges of life within the infamous paradise projects of suburban paris fifteenyearold french muslim doria endures a parade of social workers experiences a first kiss and assumes a philosophical outlook regarding her circumstances a first novel original 75000 first printing,3.38,Fiction
Rose of No Man's Land,Michelle Tea,fiction,http://books.google.com/books/content?id=zfc8vgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,after being hired and abruptly fired from the most popular shop at square one mall in mogsfield massachusetts fourteenyearold trisha driscoll finds herself linked up with a chainsmoking physically stunted mall rat named rose in a love story between two weirdo girls who soulfully explore the emptiness of contemporary culture reprint 44000 first printing,3.51,Fiction
Three Guineas,Virginia Woolf;Jane Marcus;Mark Hussey,fiction,http://books.google.com/books/content?id=MVdivgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the gifted english writer submits a strong plea for intellectual freedom womens rights and the cessation of war in an annotated series of letters reprint 12000 first printing,3.86,Fiction
The People of Paper,Salvador Plascencia,fiction,http://books.google.com/books/content?id=DfiH7n--DBMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,devastated by the abandonment of his wife federico de la fe moves with his young daughter from mexico to california where he is unable to break free of feelings of oppression encounters an unusual woman and meets another heartbroken man a first novel reprint,4.09,Fiction
Virginia Woolf,Julia Briggs,biography & autobiography,http://books.google.com/books/content?id=_Fn2kILpMkoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a portrait of the influential twentiethcentury writer steps away from traditional explorations of her bloomsbury social circles to reveal how her life was centered on her writing drawing on letters diaries and essays to explain how her written works reflect her formative experiences and creative philosophies reprint,4.17,Non-Fiction
On Literature,Umberto Eco,literary collections,http://books.google.com/books/content?id=i4q8C59qAlkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a collection of essays and addresses includes the authors musings on ptolemy his reflections on the experimental writings of borges and joyce and confessions about his own ambitions and anxieties by the author of the name of the rose reprint,3.95,Non-Fiction
The Pirates Laffite,William C. Davis,biography & autobiography,http://books.google.com/books/content?id=YqpwmQCEy2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,from just after the louisiana purchase through the war of 1812 privateers jean and pierre laffite made life hell for spanish merchants on the gulf pirates to the us navy officers who chased them heroes to the new orleanians who shopped for contraban,3.51,Non-Fiction
Foucault's Pendulum,Umberto Eco,fiction,http://books.google.com/books/content?id=UbkvmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,three editors inspired by an extraordinary fable about a mystic source of power greater than atomic energy begin feeding esoteric bits of knowledge into a sophisticated computer creating an incredible game that begins taking over reprint,3.9,Fiction
Between the Acts,Virginia Woolf,fiction,http://books.google.com/books/content?id=CjH5ATR3vvQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,isa and her husband must confront each other after a day of pageantry and emotional tension,3.64,Fiction
Big Anthony and the Magic Ring,Tomie DePaola,juvenile fiction,http://books.google.com/books/content?id=U5sYvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,when big anthony borrows strega nonas magic ring to turn himself into a handsome man he gets more trouble than fun,4.1,Children
The Collected Stories of Eudora Welty,Eudora Welty,literary collections,http://books.google.com/books/content?id=r1ByPyEWD_wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,all fortyone stories published by the distinguished writer are brought together displaying her insights into the american south and including her most famous work death of a traveling salesman,4.23,Non-Fiction
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,fiction,http://books.google.com/books/content?id=hZyixrjITqMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,collects nearly fifty short stories and sketches written over the course of woolfs writing career and arranges them chronologically to offer insights into woolfs development as a writer,4.04,Fiction
The Diary of Anaïs Nin: 1939-1944,Anaïs Nin,"authors, american",http://books.google.com/books/content?id=NLjmwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,nin continues her debate on the use of drugs versus the artists imagination portrays many famous people in the arts and recounts her visits to sweden the brussels worlds fair paris and venice nin looks at life love and art with a blend of gentility and acuity that is rare in contemporary writing john barkham reviews edited and with a preface by gunther stuhlmann index,4.17,Non-Fiction
The Diary of Virginia Woolf: 1915-1919,Virginia Woolf,biography & autobiography,http://books.google.com/books/content?id=RjvzxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,nothing yet published about her so totally contradicts the legend of virginia woolf this is a first chance to meet the writer in her own unguarded words and to observe the root impulses of her art without the distractions of a commentary new york times edited and with a preface by anne olivier bell introduction by quentin bell index,4.31,Non-Fiction
The Diary of Virginia Woolf,Virginia Woolf,biography & autobiography,http://books.google.com/books/content?id=FjEvjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,entries interrupted only by her periodic breakdowns record the daily events and activities enthusiasms and disappointments and writing tasks in virginia woolfs life and her responses to people books and her own work,4.37,Non-Fiction
The Diary of Virginia Woolf: 1925-1930,Virginia Woolf,biography & autobiography,http://books.google.com/books/content?id=6q4nAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,an account of woolfs life during the period in which to the lighthouse and the waves were written her steeltrap mind and elegant prosemake this a most valuable and pleasurable book publishers weekly volume three is as witty and intelligent as its predecessors atlantic monthly edited by anne olivier bell assisted by andrew mcneillie index,4.43,Non-Fiction
The Diary of Virginia Woolf: 1931-1935,Virginia Woolf,biography & autobiography,http://books.google.com/books/content?id=ai7uAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,entries interrupted only by her periodic breakdowns record the daily events and activities enthusiasms and disappointments and writing tasks in virginia woolfs life and her responses to people books and her own work,4.44,Non-Fiction
Diary Of Virginia Woolf Volume 5,Virginia Woolf,biography & autobiography,http://books.google.com/books/content?id=cbAnAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,virginia woolf was fiftyfour on january 25 1936 some three weeks after this final volume of her diary opens its last page was written four days before she drowned herself on march 28 1941 edited by anne olivier bell assisted by andrew mcneillie index maps,4.49,Non-Fiction
Difficult Loves,Italo Calvino,fiction,http://books.google.com/books/content?id=6Ynoy06fs7kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in a collection of stories written during the 1940s and 1950s the author captures moments of revelation in the lives of ordinary people instants blending recognition and alarm as deceptions and illusions are laid bare,3.93,Fiction
The Early Diary of Anaïs Nin: 1923-1927,Anaïs Nin,biography & autobiography,http://books.google.com/books/content?id=dz86mQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a bridge between the early life of nin and the first volume of her diary in pages more candid than in the preceding diaries nin tells how she exorcised the obsession that threatened her marriage and nearly drove her to suicide editors note by rupert pole preface by joaquin ninculmell index photographs,4.18,Non-Fiction
E. M. Forster,Philip Nicholas Furbank,biography & autobiography,http://books.google.com/books/content?id=KrvbAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,p n furbanks 1978 twovolume portrait combined here into one edition is generally considered the definitive biography of novelist e m forster one of the best biographies of a writer ive ever readwalter clemons newsweek,4.11,Non-Fiction
Fiasco,Stanislaw Lem,fiction,http://books.google.com/books/content?id=4IZ3PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,when a crew of earthmenamong them a space pilot a military leader a scientist and a priestreach the planet quinta the travelers descend into the very depths of the human condition,4.12,Fiction
Henry and June,Anaïs Nin,"authors, american",http://books.google.com/books/content?id=e_y_H-HHNDgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a year in the life 19311932 of writer anais nin when she met henry miller and his wife june,3.95,Non-Fiction
Homage to Catalonia,George Orwell,history,http://books.google.com/books/content?id=MXwx-pTmPNkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,presents the british novelists firsthand report on the spanish civil war based on his experiences fighting against the fascists,4.15,Non-Fiction
Incest,Anaïs Nin,biography & autobiography,http://books.google.com/books/content?id=eDLFnmAcVTYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the authors diary includes details of her relationships with henry miller and his wife june antonin artaud rene allendy otto rank and her father,4.0,Non-Fiction
The Inheritors,William Golding,fiction,http://books.google.com/books/content?id=oGpXc3u3NOsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the impact on a small surviving band of neanderthal food gatherers of the arrival of homo sapiens a clever and ruthless killer,3.53,Fiction
Invisible Cities,Italo Calvino,fiction,http://books.google.com/books/content?id=5AokCxyISuIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in kublai khans garden at sunset the young marco polo diverts the aged emperor from his obsession with the impending end of his empire with tales of countless cities past present and future,4.17,Fiction
The Letters of Virginia Woolf: 1936-1941,Virginia Woolf,biography & autobiography,http://books.google.com/books/content?id=zJWYuwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the unabridged texts of virtually all of the english novelists extant correspondence recording her personality activities relationships spells of madness and growth as a writer from the age of six to shortly before her death,4.47,Non-Fiction
"Marcovaldo, Or, The Seasons in the City",Italo Calvino,fiction,http://books.google.com/books/content?id=mhsJJLrIHZYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,marcovaldo and irrepressible dreamer and inveterate schemer embarks on a series of adventures with unpredictable results,3.88,Fiction
Moments of Being,Virginia Woolf,biography & autobiography,http://books.google.com/books/content?id=sWiiqWV0hQ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,six autobiographical pieces that span her entire career reveal the underlying unity of woolfs art thought and sensibility and the unusual degree to which she integrated personal experiences within her fiction,4.26,Non-Fiction
Mrs. Dalloway,Virginia Woolf,fiction,http://books.google.com/books/content?id=uFHavgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a poignant portrayal of the thoughts and events that comprise one day in a womans life,3.79,Fiction
Mrs. Miniver,Jan Struther,fiction,http://books.google.com/books/content?id=Sox9mgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,in prewar england mrs miniver an ordinary english wife and mother of three finds extraordinary aspects of life in the everyday routines others take for granted,3.96,Fiction
Murder in the Cathedral,Thomas Stearns Eliot,drama,http://books.google.com/books/content?id=KNrzg_kxAPEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a play in verse form dramatizes the murder of archbishop thomas becket by four knights of henry iis court,3.76,Fiction
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,fiction,http://books.google.com/books/content?id=xti83ZDjUiAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,recounts the chivalrous exploits of an empty suit of armor and the separate halves of a nobleman who has been bisected by a cannon ball,4.03,Fiction
Orlando,Virginia Woolf;Adeline Virginia Stephen Woolf,fiction,http://books.google.com/books/content?id=7KLbkCfUI_UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,orlando doubles as first an elizabethan nobleman and then as a victorian heroine who undergoes all the transitions of history in this novel that examines sex roles and social mores,3.86,Fiction
The Orwell Reader,George Orwell,literary collections,http://books.google.com/books/content?id=DfQlqJxcl0MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,selections reveal the development of orwells personality and thinking during the thirties and forties,4.37,Non-Fiction
The Philosophy of Andy Warhol,Andy Warhol,art,http://books.google.com/books/content?id=Rkh473_wb9cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,warhol offers his observations of love beauty fame work and art and discusses the continuous play and display of his many fetishes,3.73,Non-Fiction
To the Lighthouse,Virginia Woolf,fiction,http://books.google.com/books/content?id=ng0Tg0FhRggC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an english familys complex lives are followed and picked up again after a ten year hiatus in order to explore the effects of time,3.77,Fiction
Travels in Hyper Reality,Umberto Eco,literary collections,http://books.google.com/books/content?id=NuPQxNl1rJEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,essays discuss the middle ages language culture the media sports fashion photography films and philosophy,3.89,Non-Fiction
The Uses of Literature,Italo Calvino,literary criticism,http://books.google.com/books/content?id=INlwzJp2fMMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,this essay collection discusses literature in relation to science philosophy and politics in studies of great classical works and tributes to such contemporary writers as eugenio montale roland barthes and marianne moore,4.07,Non-Fiction
The Virginia Woolf Reader,Virginia Woolf,literary criticism,http://books.google.com/books/content?id=UUyyx3Y50xQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,presents five short stories essays correspondence and selections from four novels by the prominent british author,4.1,Non-Fiction
The Waste Land,Thomas Stearns Eliot;Ezra Pound,poetry,http://books.google.com/books/content?id=iNFu0Im2wPcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biographical material accompanies reproductions of t s eliots original manuscript and notes,4.11,Non-Fiction
The Watcher & Other Stories,Italo Calvino,fiction,http://books.google.com/books/content?id=WdIlWkplbNoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the italian writer is concerned with grotesque or farcical events of the future,3.72,Fiction
The Waves,Virginia Woolf,experimental fiction,http://books.google.com/books/content?id=7HEM1SgPmC8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,against the background of the sea the author presents a group of characters from childhood to old age who speak in soliloquy and we see them as they appear to themselves and to each other in the end one of the characters sums up the effect of their lives as a whole,4.14,Fiction
Tales of the Norse Gods,Unknown,juvenile fiction,http://books.google.com/books/content?id=jj2SxgaaKIoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,collects stories of courageous women revenege strength in battle legendary heroes beasts dwarves and viking gods adapted from the norse tradition,4.07,Children
Party Shoes,Noel Streatfeild,children's stories,http://books.google.com/books/content?id=aYCk-RPF92sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,near the end of the second world war selina receives a parcel from america that contains a beautiful party dress and shoes but her excitement turns to sorrow when she realizes shell never have a chance to wear the beautiful dress until she and her cousins decide to organize a pageant,3.64,Children
Cart And Cwidder,Diana Wynne Jones,juvenile fiction,http://books.google.com/books/content?id=QdI4OmS8UGMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,clennen and his family make their living as travelling musicians a danger deepens around them moril is chosen to receive the mysterious musical instrument the ancient cwidder,3.84,Children
"Moby Dick, Or, The White Whale",Herman Melville;Geraldine McCaughrean;Victor G. Ambrus,juvenile fiction,http://books.google.com/books/content?id=La1ASAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,retells melvilles novel of the sailor called ishmael and captain ahab who would do anything to catch the great white whale moby dick that had taken the captains leg,3.85,Children
Typhoon and Other Tales,Joseph Conrad,fiction,http://books.google.com/books/content?id=Q25svQrC7W4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,typhoon falk amy foster the secret sharerthe four tales in this volume share autobiographical origins in conrads experience at sea and his exile from poland the country of his birth typhoon is the story of a steamship and her crew beset by tempest and of the stolid captain whose dogged courage is tested to the limit in falk ataciturn young woman is bizarrely courted by a tugboat master who is haunted by a terrible secret amy foster tells of an emigrant pole struggling to overcome isolation and prejudice in england the final tale the secret sharer is conrads most famous short story a masterpiece of suspenseand ambiguity giving sanctuary to a fugitive sailor a young seacaptain risks his ship and his command in order to save himthis revised edition uses the english first edition texts and has a new chronology and bibliography,3.89,Fiction
Hegel: A Very Short Introduction,Peter Singer,philosophy,http://books.google.com/books/content?id=-kTyUz5mLnsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,many people regard hegels work as obscure and extremely difficult yet his importance and influence are universally acknowledged peter singer eliminates any excuse for remaining ignorant of the outlines of hegels philosophy by providing a broad discussion of his ideas and an account of his major works,3.85,Non-Fiction
Emma,Jane Austen,literary criticism,http://books.google.com/books/content?id=VhQ7F6Papb8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,this title is also availble as a film,3.99,Non-Fiction
Pride and Prejudice,Jane Austen,fiction,http://books.google.com/books/content?id=8cp-Z_G42g4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,his perfect indifference and your pointed dislike make it so delightfully absurd pride and prejudice has delighted generations of readers with its unforgettable cast of characters carefully choreographed plot and a hugely entertaining view of the world and its absurdities with the arrival of eligible young men in their neighbourhood the lives of mr and mrs bennet and their five daughters are turned inside out and menide down pride encounters prejudice upwardmobility confronts social disdain and quickwittedness challenges sagacity as misconceptions and hasty judgements lead to heartache and scandal but eventually to true understanding selfknowledge and love in this supremely satisfying story jane austen balances comedy with seriousness and witty observation with profound insight if elizabeth bennet returns again and again to her letter from mr darcy readers of the novel are drawn even more irresistibly by its captivating wisdom,4.25,Fiction
Persuasion,Jane Austen,fiction,http://books.google.com/books/content?id=lpD5anvUaRUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the romance between captain wentworth and anne the daughter of sir walter elliot seems doomed because of the young mans family connections and lack of wealth,4.13,Fiction
Mansfield Park,Jane Austen,literary criticism,http://books.google.com/books/content?id=jl6iDrN4ARwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,me cried fannyindeed you must excuse me i could not act any thing if you were to give me the world no indeed i cannot act at the age of ten fanny price leaves the poverty of her portsmouth home to be brought up among the family of her wealthy uncle sir thomas bertram in the chilly grandeur of mansfield park there she accepts her lowly status and gradually falls in love with her cousin edmund when the dazzling and sophisticated henry and mary crawford arrive fanny watches as her cousins become embroiled in rivalry and sexual jealousy as the company starts to rehearse a play by way of entertainment fanny struggles to retain her independence in the face of the crawfords dangerous attractions and when henry turns his attentions to her the drama really begins this new edition does full justice to austens complex and subtle story placing it in its regency context and elucidating the theatrical background that pervades the novel,3.85,Non-Fiction
Phaedrus,Plato;Robin Waterfield,philosophy,http://books.google.com/books/content?id=v3z96duGrWUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,one of platoas most profound and beautiful works phaedrus takes the form of a dialogue between socrates and phaedrus an amateur rhetorical enthusiast on the topic of passionate or romantic love concerned with establishing principles of rhetoric it argues that rhetoric is only acceptable as an art when it is firmly based on the truth inspired by love the common experience of true philosophic activity it is in this dialogue that plato employs the famous image of love as the driver of the chariot of souls,3.91,Non-Fiction
Egyptian Myth: A Very Short Introduction,Geraldine Pinch,history,http://books.google.com/books/content?id=pXkRDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,egyptian myths articulated the core values of one of the longest lasting civilizations in history and myths of deities such as isis and osiris influenced contemporary cultures and became part of the western cultural heritage egyptian mythology a very short introduction explains the cultural and historical background to the fascinating and complex world of egyptian myth with each chapter dealing with a particular theme to show the variety of source material for egyptian myth each chapter features a particular objectsuch as the obelisk known as cleopatras needle a golden statue of tutankhamun and a papyrus containing a story in which the egyptian gods behave outrageouslywhich is illustrated by a photograph or linedrawing the myth the contendings of horus and seth is looked at in detail and the many interpretations it has provoked are examined in addition to a list of major deities and myths there are explanations of related topics such as how hieroglyphs work royal names and titles and the egyptian cosmos there is also a timeline of egyptian history a glossary of technical terms and an uptodate bibliography,3.62,Non-Fiction
The Major Works,John Milton,literary criticism,http://books.google.com/books/content?id=Q0xkC5CEhHQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,this authoritative edition was originally published in the acclaimed oxford authors series under the general editorship of frank kermode it brings together a unique combination of miltons poetry and prose all the english verse together with a generous selection from the major prosewritings to give the essence of his work and thinkingmiltons influence on english poetry and criticism has been incalculable and this edition covers the full range of his poetic and political output it includes paradise lost paradise regained and samson agonistes as well as major prose works such as areopagitica and the tenure of kings andmagistrates as well as all the english and italian verse the volume includes most of the latin and greek verse in parallel translation spelling has been modernized and the poems are arranged in order of publication essential to an understanding of the progress of miltons career in relationto the political and religious upheavals of his time the extensive notes cover syntax vocabulary historical context and biblical and classical allusions the introduction traces both miltons changing conception of his own vocation and the critical reception his work has received over the pastfour centuries,4.22,Non-Fiction
Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,fiction,http://books.google.com/books/content?id=f_0bQHhTqUoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,gullivers travels purports to be a travel book it is a blend of fantasy and realism and describes the shipwrecked gullivers encounters with the inhabitants of four places lilliput brobdingnag laputa and the country of the houyhnhnmsprovided byp,3.56,Fiction
A Christmas Carol and Other Christmas Books,Charles Dickens,fiction,http://books.google.com/books/content?id=e4YJ2oiSjzYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,collects some of the authors christmas stories including a christmas carol in which a miser learns the true meaning of christmas when three ghostly visitors review his past and foretell his future,4.12,Fiction
